"PO_BLANKET_ID","PO_RELEASE_ID","LINE_ID","SHIPMENT_ID","CATEGORY_ID","CANCEL_FLAG","UOM","AMOUNT","QTY","GEOGRAPHY_ID","CONTRACT_ID","CONTRACT_LINE_ID","ORIGINAL_DUE_DATE","LATEST_DUE_DATE","SHIPMENT_LINE"
32984,58784,117332,117332,91,"N","Each",19226.2,62,209,32984,38530,27/JAN/05,27/JAN/05,1
32984,58784,117333,117333,91,"N","Each",38545.65,39,209,32984,38531,27/JAN/05,27/JAN/05,2
32840,58834,117452,117452,114,"N","Each",132.48,23,207,32840,38309,04/FEB/05,04/FEB/05,1
32840,58834,117453,117453,114,"N","Each",1816.45,85,207,32840,38310,04/FEB/05,04/FEB/05,2
32840,58834,117454,117454,114,"N","Each",1816.45,85,207,32840,38311,04/FEB/05,04/FEB/05,3
32840,58834,117455,117455,32,"N","Each",581.06,34,207,32840,38314,04/FEB/05,04/FEB/05,4
32840,58834,117456,117456,114,"N","Each",871.76,34,207,32840,38315,04/FEB/05,04/FEB/05,5
32841,58835,117457,117457,114,"N","Each",26222.56,104,207,32841,38320,03/FEB/05,03/FEB/05,1
32841,58835,117458,117458,32,"N","Each",1777.36,104,207,32841,38321,03/FEB/05,03/FEB/05,2
32843,58837,117466,117466,114,"N","Each",6845.56,34,207,32843,38332,04/FEB/05,04/FEB/05,1
32843,58837,117467,117467,114,"N","Each",726.58,34,207,32843,38333,04/FEB/05,04/FEB/05,2
32843,58837,117468,117468,111,"N","Each",1016.94,34,207,32843,38334,04/FEB/05,04/FEB/05,3
32843,58837,117469,117469,114,"N","Each",2222.48,104,207,32843,38339,03/FEB/05,03/FEB/05,4
32844,58838,117470,117470,114,"N","Each",9.89,23,207,32844,38340,04/FEB/05,04/FEB/05,1
32844,58838,117471,117471,114,"N","Each",97.75,85,207,32844,38341,04/FEB/05,04/FEB/05,2
32844,58838,117472,117472,114,"N","Each",97.75,85,207,32844,38342,04/FEB/05,04/FEB/05,3
32844,58838,117473,117473,32,"N","Each",5404.98,34,207,32844,38346,04/FEB/05,04/FEB/05,4
32844,58838,117474,117474,114,"N","Each",58.14,34,207,32844,38347,04/FEB/05,04/FEB/05,5
32844,58838,117475,117475,34,"N","Each",1307.64,34,207,32844,38348,04/FEB/05,04/FEB/05,6
32845,58839,117476,117476,114,"N","Each",177.84,104,207,32845,38353,03/FEB/05,03/FEB/05,1
32845,58839,117477,117477,34,"N","Each",2666.56,104,207,32845,38354,03/FEB/05,03/FEB/05,2
32984,58840,117478,117478,91,"N","Each",24497.9,79,207,32984,38530,28/JAN/05,28/JAN/05,1
32984,58840,117479,117479,91,"N","Each",25697.1,26,207,32984,38531,28/JAN/05,28/JAN/05,2
32984,58844,117484,117484,91,"N","Each",21707,70,209,32984,38530,28/JAN/05,28/JAN/05,1
32984,58844,117485,117485,91,"N","Each",19767,20,209,32984,38531,28/JAN/05,28/JAN/05,2
32840,58855,117556,117556,32,"N","Each",68.36,4,207,32840,38314,04/FEB/05,04/FEB/05,4
32840,58855,117557,117557,114,"N","Each",102.56,4,207,32840,38315,04/FEB/05,04/FEB/05,5
32843,58859,117574,117574,114,"N","Each",805.36,4,207,32843,38332,04/FEB/05,04/FEB/05,1
32843,58859,117575,117575,114,"N","Each",85.48,4,207,32843,38333,04/FEB/05,04/FEB/05,2
